Team Number,Player Name,Position,Height,Weight,Team
1,Jalen Johnson,PF,6-9,220,Atlanta Hawks
3,Keldon Johnson,SF,6-6,210,San Antonio Spurs
6,Keon Johnson,PG,6-3,185,Portland Trail Blazers
18,Keyontae Johnson,F,6-6,235,Oklahoma City Thunder
15,Nikola Jokic,C,7-0,284,Denver Nuggets
22,Carlik Jones,PG,6-1,185,Chicago Bulls
20,Colby Jones,GF,6-6,205,Sacramento Kings
30,Damian Jones,PF,7-0,245,Cleveland Cavaliers
5,Herb Jones,SF,6-6,206,New Orleans Pelicans
23,Kai Jones,PF,6-11,230,Charlotte Hornets
33,Tre Jones,PG,6-2,185,San Antonio Spurs
5,Tyus Jones,PG,6-1,196,Washington Wizards
6,DeAndre Jordan,C,6-11,265,Denver Nuggets
18,Cory Joseph,PG,6-3,200,Golden State Warriors
5,Nikola Jovic,F,6-11,225,Miami Heat
33,Johnny Juzang,SG,6-7,215,Utah Jazz
10,Luke Kennard,SG,6-5,206,Memphis Grizzlies
24,Walker Kessler,C,7-1,245,Utah Jazz
11,Braxton Key,SF,6-8,225,Denver Nuggets
24,Corey Kispert,SF,6-7,220,Washington Wizards
42,Maxi Kleber,PF,6-10,240,Dallas Mavericks
13,Nathan Knight,PF,6-8,244,New York Knicks
35,Christian Koloko,C,7-1,230,Toronto Raptors
46,John Konchar,G,6-5,210,Memphis Grizzlies
30,Furkan Korkmaz,SG,6-7,210,Philadelphia Sixers
40,Luke Kornet,F,7-2,252,Boston Celtics
00,Jonathan Kuminga,F,6-7,227,Golden State Warriors
33,Kyle Kuzma,F,6-10,221,Washington Wizards
3,Jake LaRavia,F,6-7,235,Memphis Grizzlies
8,Zach LaVine,SG,6-5,200,Chicago Bulls
11,Jock Landale,C,6-11,255,Houston Rockets
9,A.J. Lawson,F,6-6,185,Dallas Mavericks
3,Caris LeVert,G,6-6,205,Cleveland Cavaliers
10,Damion Lee,G,6-5,203,Phoenix Suns
9,Saben Lee,PG,6-2,183,Phoenix Suns
25,Alex Len,C,7-0,250,Sacramento Kings
2,Kawhi Leonard,F,6-7,225,Los Angeles Clippers
13,"Kira Lewis, Jr.",PG,6-1,170,New Orleans Pelicans
34,Justin Lewis,F,6-7,245,Chicago Bulls
21,Maxwell Lewis,SF,6-7,205,Los Angeles Lakers
32,E.J. Liddell,PF,6-6,240,New Orleans Pelicans
0,Damian Lillard,G,6-2,200,Portland Trail Blazers
10,Nassir Little,SF,6-5,220,Portland Trail Blazers
2,Dereck Lively II,C,7-1,234,Dallas Mavericks
12,Isaiah Livers,PF,6-7,230,Detroit Pistons
15,Chris Livingston,F,6-6,220,Milwaukee Bucks
6,"Kenny Lofton, Jr.",F,6-8,275,Memphis Grizzlies
5,Kevon Looney,PF,6-9,249,Golden State Warriors
11,Brook Lopez,C,7-0,270,Milwaukee Bucks
42,Robin Lopez,FC,7-0,275,Milwaukee Bucks
42,Kevin Love,FC,6-8,247,Miami Heat
7,Kyle Lowry,PG,6-1,196,Miami Heat
8,Seth Lundy,GF,6-6,220,Atlanta Hawks
41,Trey Lyles,SF,6-9,234,Sacramento Kings
54,Sandro Mamukelashvili,F,6-11,245,San Antonio Spurs
14,Terance Mann,SG,6-5,215,Los Angeles Clippers
23,Tre Mann,PG,6-3,184,Oklahoma City Thunder
23,Lauri Markkanen,SF,7-0,238,Utah Jazz
8,Naji Marshall,SF,6-7,220,New Orleans Pelicans
16,Caleb Martin,F,6-7,205,Miami Heat
11,Cody Martin,F,6-6,205,Charlotte Hornets
,Jaylen Martin,F,6-6,196,New York Knicks
6,K.J. Martin,F,6-7,215,Los Angeles Clippers
25,Garrison Mathews,SG,6-5,215,Atlanta Hawks
00,Bennedict Mathurin,GF,6-6,195,Indiana Pacers
23,Wesley Matthews,G,6-5,220,Atlanta Hawks
0,Tyrese Maxey,PG,6-2,195,Philadelphia Sixers
,Matthew Mayer,SF,6-9,225,Houston Rockets
2,Miles McBride,G,6-2,196,New York Knicks
3,C.J. McCollum,G,6-3,200,New Orleans Pelicans
9,T.J. McConnell,G,6-2,190,Indiana Pacers
3,Jaden McDaniels,F,6-10,185,Minnesota Timberwolves
2,Jalen McDaniels,PF,6-9,205,Toronto Raptors
17,Doug McDermott,F,6-8,225,San Antonio Spurs
00,JaVale McGee,C,7-0,270,Dallas Mavericks
7,Bryce McGowens,GF,6-6,185,Charlotte Hornets
6,Jordan McLaughlin,G,5-11,185,Minnesota Timberwolves
8,De'Anthony Melton,SG,6-2,200,Philadelphia Sixers
20,Sam Merrill,G,6-5,205,Cleveland Cavaliers
19,Chimezie Metu,PF,6-9,225,Phoenix Suns
29,Vasilje Micic,PG,6-5,200,Oklahoma City Thunder
22,Khris Middleton,SF,6-8,222,Milwaukee Bucks
14,"Mike Miles, Jr.",G,6-2,205,Dallas Mavericks
24,Brandon Miller,F,6-9,200,Charlotte Hornets
11,Jordan Miller,G,6-7,195,Los Angeles Clippers
33,Leonard Miller,F,6-10,210,Minnesota Timberwolves
8,Patty Mills,G,6-0,180,Atlanta Hawks
18,Shake Milton,SG,6-5,215,Minnesota Timberwolves
8,Josh Minott,F,6-9,197,Minnesota Timberwolves
15,Davion Mitchell,PG,6-2,205,Sacramento Kings
45,Donovan Mitchell,SG,6-3,215,Cleveland Cavaliers
4,Evan Mobley,PF,7-0,215,Cleveland Cavaliers
15,Isaiah Mobley,SF,6-10,240,Cleveland Cavaliers
0,Malik Monk,SG,6-3,200,Sacramento Kings
4,Moses Moody,SG,6-5,210,Golden State Warriors
7,"Wendell Moore, Jr.",SF,6-6,217,Minnesota Timberwolves
