Player_name,Salary in 2023/24
John Konchar,"$2,400,000"
Quentin Grimes,"$2,385,720"
Nikola Jovic,"$2,352,000"
Keita Bates-Diop,"$2,346,614"
Drew Eubanks,"$2,346,614"
Yuta Watanabe,"$2,346,614"
Lonnie Walker,"$2,346,614"
Aaron Holiday,"$2,346,614"
Thanasis Antetokounmpo,"$2,346,614"
Mo Bamba,"$2,346,614"
Chimezie Metu,"$2,346,614"
Patrick Baldwin,"$2,337,720"
TyTy Washington,"$2,320,440"
Jordan McLaughlin,"$2,320,000"
Bones Hyland,"$2,306,400"
Peyton Watson,"$2,303,520"
Cam Thomas,"$2,240,160"
Vlatko Cancar,"$2,234,359"
Jaden Springer,"$2,226,240"
Day'Ron Sharpe,"$2,210,040"
Santiago Aldama,"$2,194,200"
Oshae Brissett,"$2,165,000"
Jaxson Hayes,"$2,165,000"
Cam Reddish,"$2,165,000"
Darius Bazley,"$2,165,000"
Bol Bol,"$2,165,000"
Andrew Nembhard,"$2,131,905"
Kobi Simmons,"$2,066,585"
DaQuan Jeffries,"$2,066,585"
Isaiah Roby,"$2,066,585"
Goga Bitadze,"$2,066,585"
Luka Samanic,"$2,066,585"
Terry Taylor,"$2,019,706"
Neemias Queta,"$2,019,706"
Colby Jones,"$2,019,706"
Dalano Banton,"$2,019,706"
Trendon Watford,"$2,019,706"
Greg Brown,"$2,019,706"
Joe Wieskamp,"$2,019,706"
Nate Hinton,"$2,019,706"
Justin Champagnie,"$2,019,706"
Duane Washington Jr,"$2,019,706"
Sandro Mamukelashvili,"$2,019,706"
Jeff Dowtin,"$2,019,706"
Garrison Mathews,"$2,000,000"
Jaylin Williams,"$2,000,000"
Caleb Houstan,"$2,000,000"
Sam Merrill,"$1,997,238"
Isaiah Joe,"$1,997,238"
Anthony Gill,"$1,997,238"
KJ Martin,"$1,930,681"
Xavier Tillman,"$1,930,681"
Naji Marshall,"$1,930,681"
Carlik Jones,"$1,927,896"
Sam Hauser,"$1,927,896"
Jericho Sims,"$1,927,896"
Jordan Goodwin,"$1,927,896"
Ishmail Wainright,"$1,927,896"
Kessler Edwards,"$1,927,896"
Haywood Highsmith,"$1,902,137"
AJ Green,"$1,901,769"
Jeremiah Robinson-Earl,"$1,900,000"
JT Thor,"$1,836,096"
Isaiah Livers,"$1,836,096"
BJ Boston,"$1,836,096"
Jason Preston,"$1,836,096"
Isaiah Todd,"$1,836,096"
Miles McBride,"$1,836,096"
Aaron Wiggins,"$1,836,096"
EJ Liddell,"$1,801,769"
Jack White,"$1,801,769"
Buddy Boeheim,"$1,801,769"
Stanley Umude,"$1,801,769"
Jeenathan Williams,"$1,801,769"
Orlando Robinson,"$1,801,769"
Alondes Williams,"$1,801,769"
Ja'Vonte Smart,"$1,801,769"
Leonard Miller,"$1,800,000"
Bryce McGowens,"$1,719,864"
